"","age","sex","G1.x","G2.x","G3.x","absences.x","failures.x","schoolsup.x","paid.x","famsup.x","activities.x","studytime.x","higher.x"
"1",15,"F",7,10,"LowFail",2,"2","yes","yes","yes","yes","4","yes"
"2",15,"F",8,6,"HighFail",2,"3","yes","no","yes","no","2","yes"
"3",15,"F",14,13,"LowPass",8,"1","yes","yes","yes","yes","1","yes"
"4",15,"F",10,9,"LowFail",2,"1","yes","yes","yes","yes","3","yes"
"5",15,"F",10,10,"LowFail",8,"3","no","yes","yes","yes","3","yes"
"6",15,"F",12,12,"LowPass",2,"1","yes","yes","yes","yes","3","yes"
"7",15,"F",12,0,"HighFail",0,"3","no","no","yes","no","3","yes"
"8",15,"F",8,9,"LowFail",2,"1","yes","yes","yes","no","2","yes"
"9",15,"F",16,16,"HighPass",12,"1","no","no","yes","no","4","yes"
"10",15,"F",10,11,"LowPass",10,"1","yes","no","no","no","4","yes"
"11",15,"F",14,15,"HighPass",0,"1","no","yes","yes","yes","2","yes"
"12",15,"F",8,0,"HighFail",0,"1","no","no","yes","yes","1","yes"
"13",15,"F",9,10,"LowFail",2,"1","no","no","yes","yes","2","yes"
"14",15,"F",8,11,"LowPass",0,"1","no","yes","yes","no","2","yes"
"15",15,"F",10,11,"LowPass",2,"1","no","yes","yes","no","2","yes"
"16",15,"F",16,15,"HighPass",2,"1","no","no","no","no","2","yes"
"17",15,"F",10,12,"LowPass",4,"1","no","no","yes","yes","3","yes"
"18",15,"F",7,8,"LowFail",8,"1","yes","yes","yes","no","4","yes"
"19",15,"F",8,7,"HighFail",0,"1","no","no","yes","yes","1","yes"
"20",15,"F",6,7,"HighFail",0,"4","no","no","yes","no","2","yes"
"21",15,"F",7,6,"HighFail",26,"1","yes","yes","yes","no","2","yes"
"22",15,"F",15,14,"HighPass",2,"1","no","yes","yes","yes","3","yes"
"23",15,"F",13,14,"HighPass",4,"1","no","no","yes","yes","3","yes"
"24",15,"F",16,17,"HighPass",4,"1","no","yes","no","yes","1","yes"
"25",15,"F",11,0,"HighFail",0,"1","no","no","yes","yes","3","yes"
"26",15,"F",8,10,"LowPass",0,"1","yes","yes","yes","no","1","yes"
"27",15,"F",7,9,"LowFail",6,"3","no","yes","no","no","2","yes"
"28",15,"F",7,7,"HighFail",2,"2","yes","no","yes","yes","2","yes"
"29",15,"F",10,8,"LowFail",0,"1","no","yes","yes","no","2","yes"
"30",15,"F",9,11,"LowPass",2,"1","no","yes","yes","yes","3","yes"
"31",15,"F",16,16,"HighPass",0,"1","no","no","no","yes","1","yes"
"32",15,"F",10,13,"LowPass",6,"1","no","yes","no","no","1","yes"
"33",15,"F",7,10,"LowPass",0,"1","yes","no","no","yes","2","yes"
"34",15,"F",8,8,"HighFail",8,"1","yes","yes","yes","yes","2","yes"
"35",15,"F",7,8,"LowFail",10,"4","yes","yes","no","no","2","yes"
